head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
439215,chemicalentity_biologicalprocess,GO:0006113,-0.7487725615501404,-0.232143107153421,REJECT,"(2S,3R,4S,5R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",fermentation,[],False,False,False,False,,,
439215,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0006113,-0.7408785820007324,-0.5654679724376828,REJECT,"(2S,3R,4S,5R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",fermentation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.7506, 'chemicalentity_noeffect_biologicalprocess': -1.6395, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0401, 'chemicalentity_promotes_biologicalprocess': -1.039, 'chemicalentity_inhibits_biologicalprocess': -0.937, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.7409}"
439215,chemicalentity_biologicalprocess,GO:0043464,-0.5218833684921265,-0.232143107153421,REJECT,"(2S,3R,4S,5R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",malolactic fermentation,[],False,False,False,False,,,
439215,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0043464,-0.9099154472351074,-0.5654679724376828,REJECT,"(2S,3R,4S,5R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",malolactic fermentation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.9653, 'chemicalentity_noeffect_biologicalprocess': -1.9283, 'chemicalentity_notassociatedwith_biologicalprocess': -1.0031, 'chemicalentity_promotes_biologicalprocess': -1.7819, 'chemicalentity_inhibits_biologicalprocess': -1.4803, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.9099}"
439215,chemicalentity_biologicalprocess,GO:0019660,-0.4585799276828766,-0.232143107153421,REJECT,"(2S,3R,4S,5R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",glycolytic fermentation,[],False,False,False,False,,,
439215,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0019660,-0.6072346568107605,-0.5654679724376828,REJECT,"(2S,3R,4S,5R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",glycolytic fermentation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.6075, 'chemicalentity_noeffect_biologicalprocess': -1.259, 'chemicalentity_notassociatedwith_biologicalprocess': -0.6803, 'chemicalentity_promotes_biologicalprocess': -0.8754, 'chemicalentity_inhibits_biologicalprocess': -0.6891, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.6072}"
439215,chemicalentity_pathway,R-HSA-2559582,-0.29339540004730225,-0.3200630854546729,ACCEPT,"(2S,3R,4S,5R)-3,4,5,6-tetrahydroxyoxane-2-carboxylic acid",Senescence-Associated Secretory Phenotype (SASP),[],False,False,False,False,,,
GO:0006113,biologicalprocess_biologicalprocess,GO:0043464,-0.29746949672698975,-0.0422867482620858,REJECT,fermentation,malolactic fermentation,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0006113,biologicalprocess_biologicalprocess,GO:0019660,-0.3904297947883606,-0.0422867482620858,REJECT,fermentation,glycolytic fermentation,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0043464,biologicalprocess_biologicalprocess,GO:0019660,-2.1263041496276855,-0.0422867482620858,REJECT,malolactic fermentation,glycolytic fermentation,[],False,False,False,False,,,
