Title,PMID,Journal ,Published ,DOI,Right Hypothesis,Inverse Hypothesis
Systematic profiling reveals betaine as an exercise mimetic for geroprotection,,Cell ,2025,https://doi.org/10.1016/j.cell.2025.06.001 ,"Betaine supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, betaine inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline","Betaine supplementation inhibits healthy aging and promotes cellular senescence when used without actual physical exercise. Without the physical stress of working out, continuous betaine administration promotes the dysregulation of metabolic pathways. This dysregulation inhibits natural cellular cleanup mechanisms and promotes the acceleration of age-related health decline."
Stress granule clearance mediated by V-ATPase-interacting protein NCOA7 mitigates ovarian aging,,Nature Aging,2025,https://doi.org/10.1038/s43587-025-00927-w,"Therapeutic delivery of NCOA7 mRNA promotes the autophagic degradation of stress granules and inhibits oxidative stress in human granulosa cells. By efficiently clearing these granules, this targeted intervention promotes ovarian resilience and strongly inhibits cellular senescence, thereby successfully delaying ovarian aging and extending female reproductive longevity.","Artificial delivery of NCOA7 mRNA promotes a toxic over-accumulation of stress granules and inhibits natural cellular stress responses. This metabolic disruption inhibits normal autophagic degradation pathways, which directly promotes rapid granulosa cell senescence, ultimately accelerating pathological ovarian aging and reducing female reproductive longevity."
"Deletion of METTL14, a key methylation regulator, attenuates vascular ageing",,Eur Heart J,2025,https://doi.org/10.1093/eurheartj/ehaf476 ,"Targeted knockdown of METTL14 inhibits the stabilization of TLR4 mRNA, which inhibits chronic vascular inflammation. This molecular intervention inhibits endothelial cell senescence and arterial stiffness, and ultimately promotes healthy vascular aging and cardiovascular resilience in older individuals.","The age-related upregulation of METTL14 promotes TLR4 mRNA stability and promotes severe oxidative stress. This continuous inflammatory response inhibits normal endothelial function and promotes rapid cellular senescence, which ultimately promotes arterial remodeling and accelerated pathological vascular aging."
NRF1-mediated innate immune response drives inflammaging,,Nat Comms,2025,https://doi.org/10.1038/s41467-025-66368-6,"Targeted knockdown of NRF1 inhibits the TBK1/IRF3 innate immune signaling pathway, which directly inhibits the senescence-associated secretory phenotype (SASP). This reduction in systemic inflammation inhibits cellular senescence and promotes healthy aging, effectively extending lifespan and mitigating age-related multi-organ deterioration.","The continuous activation of NRF1 by DNA damage promotes aberrant innate immune responses and heavily promotes chronic inflammation. This hyperactive signaling inhibits natural cellular repair mechanisms and promotes severe cellular senescence, ultimately accelerating systemic inflammaging and age-related physical decline."
Panaxatriol exerts anti-senescence effects and alleviates osteoarthritis and cartilage repair fibrosis by targeting UFL1,,J Adv Res,2025,https://doi.org/10.1016/j.jare.2024.10.016 ,"Targeted treatment with panaxatriol promotes UFL1 activity, which directly inhibits chondrocyte senescence and inhibits inflammatory SASP release. By regulating these pathways, the intervention inhibits abnormal fibrocartilage formation and promotes healthy cartilage repair, effectively delaying the degenerative progression of osteoarthritis.","The age-related suppression of UFL1 promotes the dysregulation of the FOXO1 and NF-κB pathways, which strongly promotes chondrocyte senescence. This continuous cellular decline inhibits normal joint metabolism and heavily promotes tissue fibrosis, ultimately accelerating the severe progression of osteoarthritis."
PRDM16 Reduces Cellular Senescence by Upregulating GSTM1,,Advanced Science,2025,https://doi.org/10.1002/advs.202501233,"Targeted delivery of PRDM16 promotes GSTM1 transcription and promotes healthy glutathione metabolism. This enhanced antioxidant activity directly inhibits oxidative DNA damage and inhibits cellular senescence across multiple organs. Ultimately, this targeted intervention inhibits aging-related organ injury and promotes healthy organ function in older individuals.","The age-related decline of PRDM16 inhibits normal GSTM1 expression, which directly promotes severe oxidative DNA damage. This disruption in glutathione metabolism heavily promotes rapid cellular senescence in vital organs like the kidneys. Consequently, this depletion inhibits natural tissue repair and promotes accelerated organ failure and premature aging."
ATF3 Deficiency Exacerbates Ageing-Induced Atherosclerosis and Clinical Intervention Strategy,,Advanced Science,2025,https://doi.org/10.1002/advs.202502249 ,"Targeted treatment with Terazosin inhibits the degradation of Atf3 mRNA, which directly promotes the ATF3-ATG7 protective autophagy loop. By stabilizing this pathway, Terazosin inhibits vascular smooth muscle cell senescence and inhibits plaque formation, which ultimately promotes cardiovascular health and prevents aging-driven atherosclerosis.","The age-related increase in RNA methylation promotes the destruction of Atf3 mRNA, which inhibits essential cellular autophagy. This disruption heavily promotes vascular smooth muscle cell senescence and promotes arterial plaque accumulation, which ultimately inhibits normal vascular function and accelerates the progression of cardiovascular disease."
Circadian Gene BMAL1 Regulation of Cellular Senescence in Thyroid Aging,,Aging Cell,2025,https://doi.org/10.1111/acel.70119 ,"Targeted upregulation of the circadian gene BMAL1 promotes the expression of NFKBIA, which directly inhibits cellular senescence in thyroid epithelial cells. This intervention promotes stable thyroid hormone synthesis and inhibits age-related thyroid dysfunction, effectively preserving overall thyroid health in older individuals.","The age-related upregulation of BMAL1 inhibits NFKBIA expression, which strongly promotes the senescence-associated secretory phenotype (SASP) in thyroid tissue. This circadian rhythm disruption promotes rapid cellular senescence and directly inhibits normal thyroid hormone synthesis, ultimately accelerating the onset of hypothyroidism in the elderly."
"Identifying the target, mechanism, and agonist of α-ketoglutaric acid in delaying mesenchymal stem cell senescence",,Cell Reports,2025,https://doi.org/10.1016/j.celrep.2025.115917,"Scutellarin promotes isocitrate dehydrogenase 1 activity, raising alpha-ketoglutaric acid levels. This promotes the 2-oxoglutarate and Fe(II)-dependent oxygenase domain-containing protein 1 and ribosomal protein S23 complex stability. This translation accuracy inhibits misfolded proteins, which inhibits mesenchymal stem cell senescence.Overall Scutellarin inhibits mesenchymal stem cell senescence and delays aging.","Scutellarin inhibits isocitrate dehydrogenase 1 activity, which inhibits alpha-ketoglutaric acid production. This metabolic decline inhibits ribosomal protein S23 complex stability, disrupting translation. This inaccuracy promotes the accumulation of misfolded proteins, which ultimately promotes mesenchymal stem cell senescence."
Targeting age-related LINE-1 activation alleviates cardiac aging,,Nature Aging,2026,https://doi.org/10.1038/s43587-025-01056-0,"Long Interspersed Nuclear Element-1 (LINE-1) inhibits the cyclic GMP-AMP synthase and stimulator of interferon genes (cGAS-STING) pathway, which inhibits severe cardiac inflammation. This vital suppression promotes healthy cardiomyocyte function, which ultimately promotes cardiovascular longevity and delays aging.","Expression of long interspersed nuclear element-1 (LINE-1) promotes the cyclic GMP-AMP synthase and stimulator of interferon genes (cGAS-STING) pathway, which promotes severe cardiac inflammation. This toxic cascade inhibits healthy cardiomyocyte function, which ultimately inhibits cardiovascular longevity and accelerates premature aging."
Elevating cytosolic NADPH metabolism in endothelial cells ameliorates vascular aging,,Nat Comms.,2025,https://doi.org/10.1038/s41467-025-64652-z,"Upregulating glucose-6-phosphate dehydrogenase (G6PD) promotes the cytosolic production of reduced nicotinamide adenine dinucleotide phosphate (NADPH). This targeted metabolic enhancement inhibits the pathogenic activity of histone deacetylase 3 (HDAC3), which directly inhibits endothelial cell (EC) senescence. Ultimately, sustaining this antioxidant pathway promotes vascular health and successfully delays cardiovascular aging.","Downregulating glucose-6-phosphate dehydrogenase (G6PD) inhibits the cytosolic production of reduced nicotinamide adenine dinucleotide phosphate (NADPH). This severe metabolic decline promotes the pathogenic activity of histone deacetylase 3 (HDAC3), which directly promotes endothelial cell (EC) senescence. Ultimately, impairing this antioxidant pathway inhibits vascular health and aggressively accelerates cardiovascular aging."
Metformin inhibits nuclear egress of chromatin fragments in senescence and aging,,Nature Aging,2026,https://doi.org/10.1038/s43587-025-01048-0,"Metformin promotes AMP-activated protein kinase (AMPK) activity, which promotes the degradation of ALG-2-interacting protein X (ALIX). This breakdown directly inhibits the nuclear escape of cytoplasmic chromatin fragments (CCFs). Halting this egress inhibits the cyclic GMP-AMP synthase and stimulator of interferon genes (cGAS-STING) pathway, which ultimately inhibits senescence-associated inflammation and promotes overall longevity.","Metformin inhibits AMP-activated protein kinase (AMPK) activity, which inhibits the degradation of ALG-2-interacting protein X (ALIX). This persistence directly promotes the nuclear escape of cytoplasmic chromatin fragments (CCFs). Allowing this egress promotes the cyclic GMP-AMP synthase and stimulator of interferon genes (cGAS-STING) pathway, which ultimately promotes senescence-associated inflammation and inhibits overall longevity."
Targeting NAT10 alleviates colonic senescence and elderly-onset colitis by disrupting N4-acetylation of DYRK1A,,Nat Comms,2026,https://doi.org/10.1038/s41467-026-70220-w,"Knockdown or inhibition of the critical regulator N-acetyltransferase 10 (NAT10) inhibits mRNA N4-acetylcytidine (ac4C) modification, which inhibits the stabilization of dual specificity tyrosine-phosphorylation-regulated kinase 1A (DYRK1A) mRNA. This directly inhibits colonic epithelial cell senescence, which ultimately inhibits elderly-onset ulcerative colitis (UC) and promotes the rejuvenation of intestinal aging.","Upregulation of the critical regulator N-acetyltransferase 10 (NAT10) promotes mRNA N4-acetylcytidine (ac4C) modification, which promotes the stabilization of dual specificity tyrosine-phosphorylation-regulated kinase 1A (DYRK1A) mRNA. This directly promotes colonic epithelial cell senescence, which ultimately promotes elderly-onset ulcerative colitis (UC) and inhibits the rejuvenation of intestinal aging"
