run_id,timestamp,hypothesis,per_type_limit,n_input_terms,n_terms_unresolved,n_kg_entities_raw,n_kg_entities_filtered,n_filter_dropped,n_triples_raw,n_triples_signed,n_rows_collapsed,b1_inKG_ACCEPT,b2_novel_ACCEPT,b3_inKG_false_REJECT,b4_inKG_true_REJECT,b5_sign_conflict,b6_check_failed,n_accept_total,n_reject_total
0654b8b542274c7fb79788f9c5e50a0d,2026-07-21T14:35:28,"L-ornithine suppresses cellular senescence indirectly by increasing downstream polyamine synthesis; the reduction in SA-β-gal, p16/p21 and SASP should be abolished by blocking ornithine decarboxylase, demonstrating pathway dependence.",5,7,0,28,14,23,151,62,101,5,38,55,3,0,0,43,58
4b75871c5e984361ad45043fffcddbf1,2026-07-21T14:36:46,test,5,1,0,3,2,3,1,0,1,0,0,1,0,0,0,0,1
fe9d50832adc44138a5a03d9283cee77,2026-07-21T14:39:21,test,5,1,0,3,2,3,1,0,1,0,0,1,0,0,0,0,1
1151ef63ee894497922cce18ae3dac65,2026-07-21T14:39:39,test,5,1,0,3,2,3,1,0,1,0,0,1,0,0,0,0,1
efc12bfdbce84a4e84e0c8622f7b62ae,2026-07-21T14:39:56,test,5,1,0,3,2,3,1,0,1,0,0,1,0,0,0,0,1
4d522ae464c64594aa9ff198d9485706,2026-07-21T14:40:19,test,5,1,0,3,2,3,1,0,1,0,0,1,0,0,0,0,1
869e2b9e58f449159d60686331714fba,2026-07-21T14:40:35,test,5,1,0,3,2,3,1,0,1,0,0,1,0,0,0,0,1
3f407eb3d1f94dc6b3b0f6df623bdf55,2026-07-21T14:41:13,"L-ornithine suppresses cellular senescence indirectly by increasing downstream polyamine synthesis; the reduction in SA-β-gal, p16/p21 and SASP should be abolished by blocking ornithine decarboxylase, demonstrating pathway dependence.",5,7,0,28,14,21,166,78,103,7,46,49,1,0,0,53,50
6e7e9e33880d486f87c9a5d4895dfb50,2026-07-21T14:42:00,test L ornithine suppresses senescence,5,2,0,9,5,7,34,24,14,5,5,4,0,0,0,10,4
eb579536f39b435081b1b8f001132e6c,2026-07-21T15:12:45,test NADPH suppresses senescence,5,1,0,5,3,4,3,0,3,0,1,1,1,0,0,1,2
1fea392a1d6048c7bc3da7a1fca9886d,2026-07-21T15:22:54,test,5,1,0,3,2,3,1,0,1,0,0,1,0,0,0,0,1
2b7e4518ac244717b054309ee39eece2,2026-07-21T15:22:58,test,5,1,0,3,2,3,1,0,1,0,0,1,0,0,0,0,1
6d54be2a3a4d45d886e362c3969b168e,2026-07-21T15:25:38,test,5,1,0,3,2,3,1,0,1,0,0,1,0,0,0,0,1
eb45e6ec8f904d3cbfef33632d146a31,2026-07-21T15:27:47,"Bacitracin supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, Bacitracin inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline.",5,3,0,11,7,4,65,44,29,6,18,4,0,1,0,24,4
ee14835737c047feb714f96fc29a2f34,2026-07-21T15:43:46,"L-ornithine suppresses cellular senescence indirectly by increasing downstream polyamine synthesis; the reduction in SA-β-gal, p16/p21 and SASP should be abolished by blocking ornithine decarboxylase, demonstrating pathway dependence.",5,7,0,28,14,23,151,62,101,5,38,55,3,0,0,43,58
843b67df68d34d459a43c85d3dbbbd3b,2026-07-21T15:56:43,"Increasing cellular NADPH availability suppresses oxidative-stress-induced senescence by improving glutathione and thioredoxin recycling, resulting in a higher GSH/GSSG ratio, lower ROS and reduced p16/p21 and SASP expression; inhibition of NADPH-dependent oxidases should distinguish antioxidant from pro-oxidant effects.",5,8,0,45,30,13,575,150,453,19,154,277,3,0,0,173,280
485a14d722f043fc9c8d31374d2dd5dd,2026-07-21T16:02:53,"L-ornithine suppresses cellular senescence indirectly by increasing downstream polyamine synthesis; the reduction in SA-β-gal, p16/p21 and SASP should be abolished by blocking ornithine decarboxylase, demonstrating pathway dependence.",5,7,0,28,14,23,151,62,101,5,38,55,3,0,0,43,58
07464129f79d4d0c8b7e90d07c1b2a57,2026-07-21T16:13:50,"Increasing cellular NADPH availability suppresses oxidative-stress-induced senescence by improving glutathione and thioredoxin recycling, resulting in a higher GSH/GSSG ratio, lower ROS and reduced p16/p21 and SASP expression; inhibition of NADPH-dependent oxidases should distinguish antioxidant from pro-oxidant effects.",5,8,0,45,30,13,575,150,453,19,154,277,3,0,0,173,280
06b7cb51c0004d279e824c16d05a3ca8,2026-07-21T16:14:53,"Spermine acts as a senomorphic polyamine by scavenging ROS and inhibiting NF-κB activation, thereby reducing IL-6 and related SASP factors while preserving viability and leaving the number of senescent cells largely unchanged.",5,5,0,10,5,7,21,12,11,0,2,9,0,0,0,2,9
a0104f5f6167458cb9b0d7e751dbeeaa,2026-07-21T16:19:44,"Genistein suppresses cellular senescence by coordinating autophagy with inhibition of EGFR/PI3K-associated stress signalling, leading to reduced DNA-damage signalling, lower p16/p21 abundance and decreased SASP secretion without nonspecific cytotoxicity.",5,9,0,26,13,17,178,105,93,5,34,54,0,0,0,39,54
2b5e65c4346b44f5a8a1d297278bda1c,2026-07-21T16:24:34,"Baicalein suppresses oxidative and ferroptotic reinforcement of cellular senescence through xanthine-oxidase inhibition and reduced lipid peroxidation, resulting in lower ROS, preserved GPX4 activity and reduced p16/p21 and SASP expression.",5,10,1,22,15,7,213,108,123,5,57,60,1,0,0,62,61
b20eb59b70b84260bc38ed9f5fd1d3af,2026-07-21T16:26:26,"Quercetin acts as a senolytic by inhibiting PI3K-dependent survival signalling in senescent cells, causing a greater reduction in viable senescent cells than in matched proliferating controls and consequently decreasing total SA-β-gal-positive cell burden and SASP secretion",5,5,0,20,10,13,117,72,57,0,11,46,0,0,0,11,46
6b73639e74ff4c9db4c08fbf6e821c1c,2026-07-21T16:27:49,"Daidzein reduces metabolic and inflammatory senescence through PPAR-associated transcriptional regulation and conversion to microbiota-derived equol, resulting in improved lipid handling, reduced NF-κB activity and lower SASP production.",5,5,0,11,6,6,69,54,24,0,7,17,0,0,0,7,17
9c819441d15f41f2adbceaec14e0b64c,2026-07-21T16:31:42,"5'-methylthioadenosine suppresses cellular senescence by altering PRMT5-dependent methylation and inflammatory signalling downstream of methionine/polyamine metabolism, producing reduced p16/p21 expression and SASP output without generalized growth inhibition.",5,8,0,27,14,20,217,132,109,5,35,68,1,0,0,40,69
859199c819b24231bfb7172478e925a8,2026-07-21T16:34:06,"L-fucose reduces inflammation-associated senescence by dampening pro-inflammatory signalling and supporting host–microbe barrier functions, leading to reduced NF-κB activation and SASP secretion; this effect should be strongest in epithelial or immune–epithelial co-culture models.",5,7,0,19,10,14,56,36,26,0,18,8,0,0,0,18,8
7fa5fce4931d490e9a6b3ee9ffefc1e9,2026-07-21T16:38:43,"Isovaleric acid suppresses cellular senescence through AMPK activation and improved metabolic stress adaptation, resulting in increased AMPK phosphorylation, reduced mTOR activity, lower p16/p21 expression and preserved cell proliferation.",5,7,0,33,20,13,436,246,238,1,70,165,2,0,0,71,167
5a49052c024a48269ccfaa167ddae6dd,2026-07-21T16:40:51,"Apigenin acts primarily as a senomorphic compound by enhancing autophagy and suppressing inflammatory signalling, leading to reduced NF-κB-dependent SASP expression and SA-β-gal activity without preferential toxicity toward non-senescent cells.",5,5,0,6,5,1,46,36,16,0,3,13,0,0,0,3,13
4c846a86c5e54859bb0a064614d72411,2026-07-21T16:44:01,"Pyridoxine limits oxidative-stress-induced senescence by activating the Nrf2–HO-1 antioxidant response, thereby reducing ROS accumulation, DNA-damage signalling, p21 induction and SASP secretion.",5,6,0,20,10,16,195,150,70,4,36,30,0,0,0,40,30
adc863b845934d5590569cdbb491e9c7,2026-07-21T16:46:31,"Trehalose prevents proteotoxicity-induced senescence by enhancing autophagic flux and protein quality control, resulting in reduced p62 and protein-aggregate accumulation, fewer SA-β-gal-positive cells and preserved proliferative capacity.",5,7,0,18,9,13,108,72,48,0,12,36,0,0,0,12,36
4e1012f7b5f54bdeb946ed2eed438470,2026-07-21T16:50:05,"L-tryptophan suppresses cellular senescence by favouring protective microbial indole/AhR signalling over kynurenine-associated stress signalling, with increased SIRT1 activity, reduced mTOR-driven arrest and lower p16/p21 and SASP expression.",5,7,0,23,12,16,136,72,78,4,24,50,0,0,0,28,50
