head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
25232708,chemicalentity_gene,SIRT1-AS,-0.33401742577552795,-0.2458965898096785,REJECT,"N-[2-[3-(piperazin-1-ylmethyl)imidazo[2,1-b][1,3]thiazol-6-yl]phenyl]quinoxaline-2-carboxamide;hydrochloride",SIRT1 antisense RNA,[],False,False,False,False,,,
25232708,chemicalentity_gene,SIRT1,-0.040300846099853516,-0.2458965898096785,ACCEPT,"N-[2-[3-(piperazin-1-ylmethyl)imidazo[2,1-b][1,3]thiazol-6-yl]phenyl]quinoxaline-2-carboxamide;hydrochloride",sirtuin 1,['ChemicalEntity_Gene'],False,True,True,False,ChemicalEntity_Gene,,
25232708,chemicalentity_protein,B0QY96,-0.21407011151313782,-0.3552259656009227,ACCEPT,"N-[2-[3-(piperazin-1-ylmethyl)imidazo[2,1-b][1,3]thiazol-6-yl]phenyl]quinoxaline-2-carboxamide;hydrochloride",Active regulator of SIRT1,[],False,False,False,False,,,
25232708,chemicalentity_biologicalprocess,GO:0007059,-0.1435207575559616,-0.232143107153421,ACCEPT,"N-[2-[3-(piperazin-1-ylmethyl)imidazo[2,1-b][1,3]thiazol-6-yl]phenyl]quinoxaline-2-carboxamide;hydrochloride",chromosome segregation,[],False,False,False,False,,,
25232708,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0007059,-0.31573718786239624,-0.5654679724376828,ACCEPT,"N-[2-[3-(piperazin-1-ylmethyl)imidazo[2,1-b][1,3]thiazol-6-yl]phenyl]quinoxaline-2-carboxamide;hydrochloride",chromosome segregation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.3556, 'chemicalentity_noeffect_biologicalprocess': -1.964, 'chemicalentity_notassociatedwith_biologicalprocess': -0.8272, 'chemicalentity_promotes_biologicalprocess': -0.6259, 'chemicalentity_inhibits_biologicalprocess': -0.3232, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.3157}"
25232708,chemicalentity_biologicalprocess,GO:0045132,-0.1783534586429596,-0.232143107153421,ACCEPT,"N-[2-[3-(piperazin-1-ylmethyl)imidazo[2,1-b][1,3]thiazol-6-yl]phenyl]quinoxaline-2-carboxamide;hydrochloride",meiotic chromosome segregation,[],False,False,False,False,,,
25232708,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0045132,-0.48191311955451965,-0.596142909254255,ACCEPT,"N-[2-[3-(piperazin-1-ylmethyl)imidazo[2,1-b][1,3]thiazol-6-yl]phenyl]quinoxaline-2-carboxamide;hydrochloride",meiotic chromosome segregation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.4819, 'chemicalentity_noeffect_biologicalprocess': -1.8679, 'chemicalentity_notassociatedwith_biologicalprocess': -0.981, 'chemicalentity_promotes_biologicalprocess': -1.0149, 'chemicalentity_inhibits_biologicalprocess': -0.6274, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5143}"
25232708,chemicalentity_biologicalprocess,GO:0098813,-0.1865653097629547,-0.232143107153421,ACCEPT,"N-[2-[3-(piperazin-1-ylmethyl)imidazo[2,1-b][1,3]thiazol-6-yl]phenyl]quinoxaline-2-carboxamide;hydrochloride",nuclear chromosome segregation,[],False,False,False,False,,,
25232708,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0098813,-0.46600067615509033,-0.596142909254255,ACCEPT,"N-[2-[3-(piperazin-1-ylmethyl)imidazo[2,1-b][1,3]thiazol-6-yl]phenyl]quinoxaline-2-carboxamide;hydrochloride",nuclear chromosome segregation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.466, 'chemicalentity_noeffect_biologicalprocess': -2.1483, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9534, 'chemicalentity_promotes_biologicalprocess': -0.7423, 'chemicalentity_inhibits_biologicalprocess': -0.5499, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.5314}"
25232708,chemicalentity_biologicalprocess,GO:0045143,-0.18248920142650604,-0.232143107153421,ACCEPT,"N-[2-[3-(piperazin-1-ylmethyl)imidazo[2,1-b][1,3]thiazol-6-yl]phenyl]quinoxaline-2-carboxamide;hydrochloride",homologous chromosome segregation,[],False,False,False,False,,,
25232708,chemicalentity_positivelyassociatedwith_biologicalprocess,GO:0045143,-0.4850637912750244,-0.5654679724376828,ACCEPT,"N-[2-[3-(piperazin-1-ylmethyl)imidazo[2,1-b][1,3]thiazol-6-yl]phenyl]quinoxaline-2-carboxamide;hydrochloride",homologous chromosome segregation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.5557, 'chemicalentity_noeffect_biologicalprocess': -1.8534, 'chemicalentity_notassociatedwith_biologicalprocess': -0.9387, 'chemicalentity_promotes_biologicalprocess': -0.8709, 'chemicalentity_inhibits_biologicalprocess': -0.5569, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.4851}"
SIRT1-AS,gene_gene,SIRT1,-0.7145435810089111,-0.071739344080056,REJECT,SIRT1 antisense RNA,sirtuin 1,[],False,False,False,False,,,
SIRT1-AS,gene_protein,B0QY96,-0.3958474099636078,-0.0280984394514378,REJECT,SIRT1 antisense RNA,Active regulator of SIRT1,[],False,False,False,False,,,
SIRT1-AS,gene_biologicalprocess,GO:0007059,-0.28332775831222534,-0.0356325677219588,REJECT,SIRT1 antisense RNA,chromosome segregation,[],False,False,False,False,,,
SIRT1-AS,gene_inhibits_biologicalprocess,GO:0007059,-0.44266340136528015,-0.0559618705714699,REJECT,SIRT1 antisense RNA,chromosome segregation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.4427, 'gene_promotes_biologicalprocess': -0.6872, 'gene_negativelyassociatedwith_biologicalprocess': -0.7661, 'gene_positivelyassociatedwith_biologicalprocess': -0.6903, 'gene_notassociatedwith_biologicalprocess': -0.8127}"
SIRT1-AS,gene_biologicalprocess,GO:0045132,-0.27627119421958923,-0.0356325677219588,REJECT,SIRT1 antisense RNA,meiotic chromosome segregation,[],False,False,False,False,,,
SIRT1-AS,gene_inhibits_biologicalprocess,GO:0045132,-0.5421802997589111,-0.0559618705714699,REJECT,SIRT1 antisense RNA,meiotic chromosome segregation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.5422, 'gene_promotes_biologicalprocess': -0.7734, 'gene_negativelyassociatedwith_biologicalprocess': -0.7238, 'gene_positivelyassociatedwith_biologicalprocess': -0.6981, 'gene_notassociatedwith_biologicalprocess': -0.7569}"
SIRT1-AS,gene_biologicalprocess,GO:0098813,-0.3462168574333191,-0.0356325677219588,REJECT,SIRT1 antisense RNA,nuclear chromosome segregation,[],False,False,False,False,,,
SIRT1-AS,gene_inhibits_biologicalprocess,GO:0098813,-0.6161254048347473,-0.0559618705714699,REJECT,SIRT1 antisense RNA,nuclear chromosome segregation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.6161, 'gene_promotes_biologicalprocess': -0.7994, 'gene_negativelyassociatedwith_biologicalprocess': -0.843, 'gene_positivelyassociatedwith_biologicalprocess': -0.764, 'gene_notassociatedwith_biologicalprocess': -0.953}"
SIRT1-AS,gene_biologicalprocess,GO:0045143,-0.32069888710975647,-0.0356325677219588,REJECT,SIRT1 antisense RNA,homologous chromosome segregation,[],False,False,False,False,,,
SIRT1-AS,gene_inhibits_biologicalprocess,GO:0045143,-0.5383145809173584,-0.0559618705714699,REJECT,SIRT1 antisense RNA,homologous chromosome segregation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.5383, 'gene_promotes_biologicalprocess': -0.6387, 'gene_negativelyassociatedwith_biologicalprocess': -0.8378, 'gene_positivelyassociatedwith_biologicalprocess': -0.8522, 'gene_notassociatedwith_biologicalprocess': -0.8437}"
SIRT1-AS,gene_phenotype,oocyte,-0.25881221890449524,-0.0347684314162952,REJECT,SIRT1 antisense RNA,oocyte,[],False,False,False,False,,,
SIRT1-AS,gene_phenotype,oocyte degeneration,-0.916428804397583,-0.0347684314162952,REJECT,SIRT1 antisense RNA,oocyte degeneration,[],False,False,False,False,,,
SIRT1,gene_protein,B0QY96,-0.012765893712639809,-0.0280984394514378,ACCEPT,sirtuin 1,Active regulator of SIRT1,[],False,False,False,False,,,
SIRT1,gene_biologicalprocess,GO:0007059,-0.0010159233352169394,-0.0356325677219588,ACCEPT,sirtuin 1,chromosome segregation,[],False,False,False,False,,,
SIRT1,gene_inhibits_biologicalprocess,GO:0007059,-0.0429941825568676,-0.0559618705714699,ACCEPT,sirtuin 1,chromosome segregation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.043, 'gene_promotes_biologicalprocess': -0.0604, 'gene_negativelyassociatedwith_biologicalprocess': -0.1118, 'gene_positivelyassociatedwith_biologicalprocess': -0.081, 'gene_notassociatedwith_biologicalprocess': -0.1382}"
SIRT1,gene_biologicalprocess,GO:0045132,-0.002468470484018326,-0.0356325677219588,ACCEPT,sirtuin 1,meiotic chromosome segregation,[],False,False,False,False,,,
SIRT1,gene_positivelyassociatedwith_biologicalprocess,GO:0045132,-0.13544711470603943,-0.0730086550790463,REJECT,sirtuin 1,meiotic chromosome segregation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1392, 'gene_promotes_biologicalprocess': -0.1668, 'gene_negativelyassociatedwith_biologicalprocess': -0.1589, 'gene_positivelyassociatedwith_biologicalprocess': -0.1354, 'gene_notassociatedwith_biologicalprocess': -0.1806}"
SIRT1,gene_biologicalprocess,GO:0098813,-0.002732855500653386,-0.0356325677219588,ACCEPT,sirtuin 1,nuclear chromosome segregation,[],False,False,False,False,,,
SIRT1,gene_inhibits_biologicalprocess,GO:0098813,-0.1132194995880127,-0.0559618705714699,REJECT,sirtuin 1,nuclear chromosome segregation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.1132, 'gene_promotes_biologicalprocess': -0.1442, 'gene_negativelyassociatedwith_biologicalprocess': -0.1906, 'gene_positivelyassociatedwith_biologicalprocess': -0.1602, 'gene_notassociatedwith_biologicalprocess': -0.2098}"
SIRT1,gene_biologicalprocess,GO:0045143,-0.003306034253910184,-0.0356325677219588,ACCEPT,sirtuin 1,homologous chromosome segregation,[],False,False,False,False,,,
SIRT1,gene_promotes_biologicalprocess,GO:0045143,-0.05910851061344147,-0.0617563253450388,ACCEPT,sirtuin 1,homologous chromosome segregation,[],False,False,False,False,,5.0,"{'gene_inhibits_biologicalprocess': -0.0639, 'gene_promotes_biologicalprocess': -0.0591, 'gene_negativelyassociatedwith_biologicalprocess': -0.1941, 'gene_positivelyassociatedwith_biologicalprocess': -0.1873, 'gene_notassociatedwith_biologicalprocess': -0.1456}"
SIRT1,gene_phenotype,oocyte,-0.0008393322350457311,-0.0347684314162952,ACCEPT,sirtuin 1,oocyte,[],False,False,False,False,,,
SIRT1,gene_phenotype,oocyte degeneration,-0.16606098413467407,-0.0347684314162952,REJECT,sirtuin 1,oocyte degeneration,[],False,False,False,False,,,
B0QY96,protein_biologicalprocess,GO:0007059,-0.007226692978292704,-0.5776643345681309,ACCEPT,Active regulator of SIRT1,chromosome segregation,[],False,False,False,False,,,
B0QY96,protein_biologicalprocess,GO:0045132,-0.016116738319396973,-0.5776643345681309,ACCEPT,Active regulator of SIRT1,meiotic chromosome segregation,[],False,False,False,False,,,
B0QY96,protein_biologicalprocess,GO:0098813,-0.009558030404150486,-0.5776643345681309,ACCEPT,Active regulator of SIRT1,nuclear chromosome segregation,[],False,False,False,False,,,
B0QY96,protein_biologicalprocess,GO:0045143,-0.014662855304777622,-0.5776643345681309,ACCEPT,Active regulator of SIRT1,homologous chromosome segregation,[],False,False,False,False,,,
B0QY96,protein_phenotype,oocyte,-0.012031622231006622,-0.0497034494975703,ACCEPT,Active regulator of SIRT1,oocyte,[],False,False,False,False,,,
B0QY96,protein_phenotype,oocyte degeneration,-0.25145766139030457,-0.0497034494975703,REJECT,Active regulator of SIRT1,oocyte degeneration,[],False,False,False,False,,,
GO:0007059,biologicalprocess_biologicalprocess,GO:0045132,-0.00024415086954832077,-0.0422867482620858,ACCEPT,chromosome segregation,meiotic chromosome segregation,[],False,False,False,False,,,
GO:0007059,biologicalprocess_biologicalprocess,GO:0098813,-0.00015250897558871657,-0.0422867482620858,ACCEPT,chromosome segregation,nuclear chromosome segregation,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0007059,biologicalprocess_biologicalprocess,GO:0045143,-0.00034813550882972777,-0.0422867482620858,ACCEPT,chromosome segregation,homologous chromosome segregation,[],False,False,False,False,,,
GO:0045132,biologicalprocess_biologicalprocess,GO:0098813,-0.005908618681132793,-0.0422867482620858,ACCEPT,meiotic chromosome segregation,nuclear chromosome segregation,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0045132,biologicalprocess_biologicalprocess,GO:0045143,-0.010788834653794765,-0.0422867482620858,ACCEPT,meiotic chromosome segregation,homologous chromosome segregation,['BiologicalProcess_BiologicalProcess'],False,True,True,False,BiologicalProcess_BiologicalProcess,,
GO:0098813,biologicalprocess_biologicalprocess,GO:0045143,-0.0048602563329041,-0.0422867482620858,ACCEPT,nuclear chromosome segregation,homologous chromosome segregation,[],False,False,False,False,,,
