head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
R-HSA-9630750,pathway_gene,LIFR,-0.8965643644332886,-0.0605865656309756,REJECT,Evasion of Oncogene Induced Senescence Due to p16INK4A Defects,LIF receptor subunit alpha,[],False,False,False,False,,,
R-HSA-9630750,pathway_gene,STAT3,-1.2459038496017456,-0.0605865656309756,REJECT,Evasion of Oncogene Induced Senescence Due to p16INK4A Defects,signal transducer and activator of transcription 3,[],False,False,False,False,,,
LIFR,gene_protein,Q6Q0N0,-0.018218418583273888,-0.0280984394514378,ACCEPT,LIF receptor subunit alpha,CTF1-alpha {ECO:0000250|UniProtKB:O94985},[],False,False,False,False,,,
LIFR,gene_gene,STAT3,-0.006747344508767128,-0.071739344080056,ACCEPT,LIF receptor subunit alpha,signal transducer and activator of transcription 3,['Gene_Gene'],False,True,True,False,Gene_Gene,,
LIFR,gene_tissue,BTO:0002741,-0.008004628121852875,-0.0456591214389128,ACCEPT,LIF receptor subunit alpha,hepatic stellate cell,[],False,False,False,False,,,
LIFR,gene_tissue,BTO:0003513,-0.020248839631676674,-0.0456591214389128,ACCEPT,LIF receptor subunit alpha,hepatic stellate cell line,[],False,False,False,False,,,
LIFR,gene_biologicalprocess,GO:0061868,-0.09736371785402298,-0.0356325677219588,REJECT,LIF receptor subunit alpha,hepatic stellate cell migration,[],False,False,False,False,,,
LIFR,gene_positivelyassociatedwith_biologicalprocess,GO:0061868,-0.36643433570861816,-0.0730086550790463,REJECT,LIF receptor subunit alpha,hepatic stellate cell migration,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.3664, 'gene_negativelyassociatedwith_biologicalprocess': -0.4142, 'gene_notassociatedwith_biologicalprocess': -0.5392, 'gene_promotes_biologicalprocess': -0.5425, 'gene_inhibits_biologicalprocess': -0.4965}"
LIFR,gene_biologicalprocess,GO:0035733,-0.0327676497399807,-0.0356325677219588,ACCEPT,LIF receptor subunit alpha,hepatic stellate cell activation,[],False,False,False,False,,,
LIFR,gene_promotes_biologicalprocess,GO:0035733,-0.20076529681682587,-0.0617563253450388,REJECT,LIF receptor subunit alpha,hepatic stellate cell activation,[],False,False,False,False,,5.0,"{'gene_positivelyassociatedwith_biologicalprocess': -0.357, 'gene_negativelyassociatedwith_biologicalprocess': -0.3794, 'gene_notassociatedwith_biologicalprocess': -0.3434, 'gene_promotes_biologicalprocess': -0.2008, 'gene_inhibits_biologicalprocess': -0.2216}"
LIFR,gene_biologicalprocess,GO:0061872,-0.06285224854946136,-0.0356325677219588,REJECT,LIF receptor subunit alpha,hepatic stellate cell contraction,[],False,False,False,False,,,
