run_id,timestamp,hypothesis,per_type_limit,n_input_terms,n_terms_unresolved,n_kg_entities_raw,n_kg_entities_filtered,n_filter_dropped,n_triples_raw,n_triples_signed,n_rows_collapsed,b1_inKG_ACCEPT,b2_novel_ACCEPT,b3_inKG_false_REJECT,b4_inKG_true_REJECT,b5_sign_conflict,b6_check_failed,n_accept_total,n_reject_total
cb3960145eff4c688a60c184b68a58ab,2026-07-19T16:21:07,"We hypothesize that YBR035C has a role in thermal protection based on its association with heat response, protein folding, and autophagy, together with the protective effect of PDX3 knockout under pulsed thermal stress.",5,6,0,16,12,4,147,90,75,7,35,32,1,0,0,42,33
5c97449990a34f118f4db4af7c7758ad,2026-07-19T17:09:07,"We hypothesize that YBR035C has a role in thermal protection based on its association with heat response, protein folding, and autophagy, together with the protective effect of PDX3 knockout under pulsed thermal stress.",5,6,0,16,12,4,147,90,75,7,35,32,1,0,0,42,33
686a578482774ac594b03d7c7b80c97d,2026-07-19T17:24:00,"Betaine supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, betaine inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline.",5,7,0,20,10,14,150,105,63,4,39,19,0,1,0,43,19
fe589953958542639b7148c5f9cb2df3,2026-07-19T17:32:32,"Diclofenac supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, diclofenac inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline.",5,7,0,20,10,12,125,85,55,7,32,15,0,1,0,39,15
31153fe638574356af34bc4a9cc32666,2026-07-19T17:43:39,"Bacitracin supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, Bacitracin inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline.",5,7,0,20,10,12,125,85,55,7,31,16,0,1,0,38,16
347a30010413464f96c6b55d6cc51f93,2026-07-19T22:59:41,"Bacitracin supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, Bacitracin inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline.",5,2,0,7,4,4,6,0,6,0,3,3,0,0,0,3,3
89b6271fa9074975a84142c335af1c05,2026-07-19T23:27:31,"Betaine supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, betaine inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline",5,6,0,19,10,12,161,116,65,6,46,12,0,1,0,52,12
34827137e13d4f43bac4ddf71df0fba6,2026-07-19T23:29:59,"Therapeutic delivery of NCOA7 mRNA promotes the autophagic degradation of stress granules and inhibits oxidative stress in human granulosa cells. By efficiently clearing these granules, this targeted intervention promotes ovarian resilience and strongly inhibits cellular senescence, thereby successfully delaying ovarian aging and extending female reproductive longevity.",5,7,0,21,11,13,58,10,50,0,10,40,0,0,0,10,40
6ac49d1b8058406eba304fe9db579530,2026-07-19T23:33:37,"Targeted knockdown of METTL14 inhibits the stabilization of TLR4 mRNA, which inhibits chronic vascular inflammation. This molecular intervention inhibits endothelial cell senescence and arterial stiffness, and ultimately promotes healthy vascular aging and cardiovascular resilience in older individuals.",5,6,0,54,26,39,357,90,285,24,77,183,1,0,0,101,184
e4cc90bd2216424ea9aaf36f93d63c44,2026-07-20T00:06:44,"Betaine supplementation promotes healthy aging and inhibits cellular senescence. By acting as an exercise mimetic, betaine inhibits TBK1 activity. This targeted inhibition promotes a reduction in systemic inflammation and promotes cellular repair, effectively delaying age-related physical decline",5,6,0,19,10,12,161,116,65,6,46,12,0,1,0,52,12
2cde660d9c724c76a05cfae33a354ae8,2026-07-20T00:09:14,"Therapeutic delivery of NCOA7 mRNA promotes the autophagic degradation of stress granules and inhibits oxidative stress in human granulosa cells. By efficiently clearing these granules, this targeted intervention promotes ovarian resilience and strongly inhibits cellular senescence, thereby successfully delaying ovarian aging and extending female reproductive longevity.",5,7,0,21,11,13,58,10,50,0,10,40,0,0,0,10,40
0286746e2c14447592d5bf14e769056b,2026-07-20T00:15:26,"Targeted knockdown of METTL14 inhibits the stabilization of TLR4 mRNA, which inhibits chronic vascular inflammation. This molecular intervention inhibits endothelial cell senescence and arterial stiffness, and ultimately promotes healthy vascular aging and cardiovascular resilience in older individuals.",5,6,0,54,27,45,289,90,217,11,105,99,2,0,0,116,101
8189fcfcef1243b68dc3618f238ed4be,2026-07-20T00:21:49,"Targeted knockdown of NRF1 inhibits the TBK1/IRF3 innate immune signaling pathway, which directly inhibits the senescence-associated secretory phenotype (SASP). This reduction in systemic inflammation inhibits cellular senescence and promotes healthy aging, effectively extending lifespan and mitigating age-related multi-organ deterioration.",5,9,0,16,15,1,163,75,103,11,60,29,1,2,0,71,30
f6255bd743254f14b955a419e622479c,2026-07-20T00:24:52,"Targeted treatment with panaxatriol promotes UFL1 activity, which directly inhibits chondrocyte senescence and inhibits inflammatory SASP release. By regulating these pathways, the intervention inhibits abnormal fibrocartilage formation and promotes healthy cartilage repair, effectively delaying the degenerative progression of osteoarthritis.",5,6,0,38,19,25,241,105,156,4,36,114,2,0,0,40,116
00482226433e4dd093a97cc724e4519b,2026-07-20T00:27:20,"Targeted delivery of PRDM16 promotes GSTM1 transcription and promotes healthy glutathione metabolism. This enhanced antioxidant activity directly inhibits oxidative DNA damage and inhibits cellular senescence across multiple organs. Ultimately, this targeted intervention inhibits aging-related organ injury and promotes healthy organ function in older individuals.",5,6,0,13,11,2,135,80,71,5,17,49,0,0,0,22,49
e3ece48abc144a79bd92e29fd698bfde,2026-07-20T00:30:26,"Targeted treatment with Terazosin inhibits the degradation of Atf3 mRNA, which directly promotes the ATF3-ATG7 protective autophagy loop. By stabilizing this pathway, Terazosin inhibits vascular smooth muscle cell senescence and inhibits plaque formation, which ultimately promotes cardiovascular health and prevents aging-driven atherosclerosis.",5,7,0,23,12,17,67,17,53,3,23,27,0,0,0,26,27
2ffa42ae803b470c95ec2b6b60598211,2026-07-20T00:33:19,"Targeted upregulation of the circadian gene BMAL1 promotes the expression of NFKBIA, which directly inhibits cellular senescence in thyroid epithelial cells. This intervention promotes stable thyroid hormone synthesis and inhibits age-related thyroid dysfunction, effectively preserving overall thyroid health in older individuals.",5,7,0,15,8,9,59,40,27,9,12,5,1,0,0,21,6
e9fcdf36af434d8db7364b8e846c3c89,2026-07-20T00:37:45,"Scutellarin promotes isocitrate dehydrogenase 1 activity, raising alpha-ketoglutaric acid levels. This promotes the 2-oxoglutarate and Fe(II)-dependent oxygenase domain-containing protein 1 and ribosomal protein S23 complex stability. This translation accuracy inhibits misfolded proteins, which inhibits mesenchymal stem cell senescence.Overall Scutellarin inhibits mesenchymal stem cell senescence and delays aging.",5,8,0,32,16,17,146,27,124,10,40,70,4,0,0,50,74
5991bfe68a2848d4b14f83f720f7adae,2026-07-20T00:42:01,"Long Interspersed Nuclear Element-1 (LINE-1) inhibits the cyclic GMP-AMP synthase and stimulator of interferon genes (cGAS-STING) pathway, which inhibits severe cardiac inflammation. This vital suppression promotes healthy cardiomyocyte function, which ultimately promotes cardiovascular longevity and delays aging.",5,8,0,37,22,22,259,45,223,0,43,179,1,0,0,43,180
882a886b9f5346b8a84cbb6e3c4b862c,2026-07-20T00:46:37,"Upregulating glucose-6-phosphate dehydrogenase (G6PD) promotes the cytosolic production of reduced nicotinamide adenine dinucleotide phosphate (NADPH). This targeted metabolic enhancement inhibits the pathogenic activity of histone deacetylase 3 (HDAC3), which directly inhibits endothelial cell (EC) senescence. Ultimately, sustaining this antioxidant pathway promotes vascular health and successfully delays cardiovascular aging.",5,6,0,52,26,35,270,0,270,24,68,178,0,0,0,92,178
970a61f27c784781ac0ba4e7a82d5712,2026-07-20T00:49:31,"Metformin promotes AMP-activated protein kinase (AMPK) activity, which promotes the degradation of ALG-2-interacting protein X (ALIX). This breakdown directly inhibits the nuclear escape of cytoplasmic chromatin fragments (CCFs). Halting this egress inhibits the cyclic GMP-AMP synthase and stimulator of interferon genes (cGAS-STING) pathway, which ultimately inhibits senescence-associated inflammation and promotes overall longevity.",5,7,0,28,23,5,253,0,253,0,11,241,1,0,0,11,242
d8c37edcab4345a38d20b55c852a6c53,2026-07-20T00:53:35,"Knockdown or inhibition of the critical regulator N-acetyltransferase 10 (NAT10) inhibits mRNA N4-acetylcytidine (ac4C) modification, which inhibits the stabilization of dual specificity tyrosine-phosphorylation-regulated kinase 1A (DYRK1A) mRNA. This directly inhibits colonic epithelial cell senescence, which ultimately inhibits elderly-onset ulcerative colitis (UC) and promotes the rejuvenation of intestinal aging.",5,6,0,27,14,14,89,0,89,2,50,36,1,0,0,52,37
de28057d8bc64024b39c67b9a5710ec2,2026-07-20T00:58:45,"Exogenous dietary citrate promotes AMP-activated protein kinase (AMPK) signaling. This activation inhibits mitochondrial dysfunction and inhibits reactive oxygen species (ROS) generation. Consequently, this suppression inhibits cyclin-dependent kinase inhibitor 1A (CDKN1A) expression, which directly inhibits human umbilical vein endothelial cell senescence. Ultimately, the presence of dietary citrate inhibits vascular aging and promotes cardio-cerebrovascular homeostasis.",5,8,0,52,34,18,852,330,587,15,153,417,2,0,0,168,419
