head,rel,tail,score,cutoff,decision,head_name,tail_name,kg_rel_types,check_failed,kg_any_edge,in_KG,kg_sign_conflict,kg_rel_type,n_variants_considered,variant_scores
12544,chemicalentity_tissue,BTO:0000575,-0.0006859245477244258,-0.5973483094156968,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",hepatocyte,[],False,False,False,False,,,
12544,chemicalentity_biologicalprocess,GO:0006508,-0.0009909931104630232,-0.232143107153421,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",proteolysis,[],False,False,False,False,,,
12544,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0006508,-0.03844595327973366,-0.596142909254255,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",proteolysis,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0384, 'chemicalentity_noeffect_biologicalprocess': -1.5738, 'chemicalentity_notassociatedwith_biologicalprocess': -0.0999, 'chemicalentity_promotes_biologicalprocess': -0.1365, 'chemicalentity_inhibits_biologicalprocess': -0.0446, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0776}"
12544,chemicalentity_biologicalprocess,GO:0007041,-0.0018973073456436396,-0.232143107153421,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",lysosomal transport,[],False,False,False,False,,,
12544,chemicalentity_inhibits_biologicalprocess,GO:0007041,-0.02201276645064354,-0.7050372264239742,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",lysosomal transport,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0458, 'chemicalentity_noeffect_biologicalprocess': -0.9404, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1555, 'chemicalentity_promotes_biologicalprocess': -0.077, 'chemicalentity_inhibits_biologicalprocess': -0.022, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.0869}"
12544,chemicalentity_biologicalprocess,GO:0035752,-0.0037663602270185947,-0.232143107153421,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",lysosomal lumen pH elevation,[],False,False,False,False,,,
12544,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0035752,-0.10600893944501877,-0.596142909254255,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",lysosomal lumen pH elevation,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.106, 'chemicalentity_noeffect_biologicalprocess': -1.2681, 'chemicalentity_notassociatedwith_biologicalprocess': -0.267, 'chemicalentity_promotes_biologicalprocess': -0.4722, 'chemicalentity_inhibits_biologicalprocess': -0.2502, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1492}"
12544,chemicalentity_biologicalprocess,GO:0035751,-0.0050384835340082645,-0.232143107153421,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",regulation of lysosomal lumen pH,[],False,False,False,False,,,
12544,chemicalentity_negativelyassociatedwith_biologicalprocess,GO:0035751,-0.07677405327558517,-0.596142909254255,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",regulation of lysosomal lumen pH,[],False,False,False,False,,6.0,"{'chemicalentity_negativelyassociatedwith_biologicalprocess': -0.0768, 'chemicalentity_noeffect_biologicalprocess': -1.221, 'chemicalentity_notassociatedwith_biologicalprocess': -0.1881, 'chemicalentity_promotes_biologicalprocess': -0.4896, 'chemicalentity_inhibits_biologicalprocess': -0.1484, 'chemicalentity_positivelyassociatedwith_biologicalprocess': -0.1322}"
12544,chemicalentity_protein,P37198,-0.001988748088479042,-0.3552259656009227,ACCEPT,"2-[[(4R)-4-[(3R,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethyl-2,3,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydro-1H-cyclopenta[a]phenanthren-17-yl]pentanoyl]amino]acetic acid",Nuclear pore glycoprotein p62,[],False,False,False,False,,,
